chq,faq,value
How do you interpret the international normalized ratio when adjusting the Coumadin dose?,How do you interpret the international normalized ratio when adjusting the Coumadin dose?,1
How good is the evidence that topical anesthetics cause eye damage?,How good is the evidence that topical anesthetics cause eye damage?,1
How do you treat a base of the 5th metatarsal fracture? Is a cast needed?,I wonder if this patient could have a rotator cuff thing?,0
"""Pertussis. I had to look up whether or not we have to treat the people who are exposed and whether to use erythromycin.",Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
Are there studies to show that the recommended weight gains for pregnant women are truly beneficial?  He was referring to a patient whose starting weight was about 280 pounds.,"In this patient with transient ischemic attacks and no murmur, should I do an echocardiogram anyway?",0
What are recommendations for subacute bacterial endocarditis prophylaxis for hysteroscopy?,What are recommendations for subacute bacterial endocarditis prophylaxis for hysteroscopy?,1
53-year-old man. What is causing his testicular pain?,What would cause testicular pain with a normal exam?,1
What is the name of the ophthalmic drop that has ciprofloxacin in it?,What is the name of the ophthalmic drop that has ciprofloxacin in it?,1
How many alcoholic drinks per day is too many?  What is the definition of alcoholism?,How many alcoholic drinks per day is too many?,1
What is the differential diagnosis of otalgia in someone with a normal ear exam?,What is the differential diagnosis of otalgia with a normal ear exam?,1
What kind of splint should you use for a buckle (torus) fracture in a child?,"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",0
This patient is from a foreign country with a high prevalence of tuberculosis. What measurement is considered positive for this person's tuberculin skin test? When she phoned in she said her test looked the size of a nickel.,Patient from high-prevalence tuberculosis country. What tuberculin skin test diameter is considered positive?,1
This patient had a nonstress test one week ago and at the end of every acceleration there was a brief sharp spike not very deep deceleration.  Is this important?,Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum),0
What are the side effects of the measles-mumps-rubella (MMR) vaccine?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
I've got to look this up. Mother mentioned there is a new growth chart for breast fed infants. I was not aware of that.,How do you use Redux? What are the indications?,0
18-year-old male with hematuria. The question was how to interpret the antistreptolysin O (ASO) titer results. He was worried about acute glomerulonephritis in this patient. The antistreptolysin O titer on this patient was elevated.,"18-year-old male, hematuria. How do I interpret this elevated antistreptolysin O (ASO) titer?",1
"Patient with stiff man syndrome. Yesterday she vomited and then couldn't catch her breath. Sounded like a ""tracheal spasm."" Otolaryngologist said to drink cold water to relax trachea. She asked me how I can prevent these attacks in the future. I didn't know so I referred her to a pulmonologist. Also, what caused this episode?",How do you inject the bicipital tendon?,0
"OK, here's one.  70-year-old woman.  Had an episode of diverticulitis recently.  Had a colonoscopy 2 years ago.  Does she need it repeated?",Does this patient need colonoscopy?,1
What was the reference to that article on not needing to do a chest x-ray on all patients after thoracentesis?,What was that article on not needing to do a chest x-ray on all patients after thoracentesis?,1
Mother of this child wanted to get a flu shot. She is breast feeding and wanted to know if it was safe.,Is influenza vaccine safe for a breast-feeding mother?,1
"How do you score the Beck Depression Inventory (Scale)? What is considered ""positive""?",How do you score the Beck Depression Inventory?,1
18-year-old female was vaccinated for chickenpox four years ago and again one month ago. She got a pruritic vesicular rash. How common is it to get chickenpox after the vaccine?,What size pills does digoxin come in?,0
This young woman has atypical chest pain.  Can you ignore it?  She has a strong family history of coronary disease.  Our young police chief just had a coronary artery bypass graft.,"Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?",0
Should you expect the microalbuminuria to go away with angiotensin converting enzyme (ACE) inhibitor treatment?,Should you expect microalbuminuria to go away with an angiotensin converting enzyme inhibitor?,1
Does obesity affect the efficacy of oral contraceptives?,What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
Is a positive Hallpike maneuver necessary to make the diagnosis of benign positional vertigo?,Is a positive Hallpike maneuver necessary to make the diagnosis of benign positional vertigo?,1
"69-year-old man with gout, now has 3 days of swelling in wrist, I ordered an ANA (antinuclear antibody) since gout not typical in wrist.  ANA (antinuclear antibody) is positive 1:40 mixed pattern.  What does this mean and what should I do about it?",Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
How good is the evidence that mitral valve prolapse causes chest pain and what are the characteristics of the pain?,Why did she get Coccidiomycosis?,0
What are the side effects of Florinef?  Could it cause headaches?,What are the indications for getting a digoxin level?,0
Ten-month-old with a buckle fracture of the proximal tibia. What is the treatment?,Patient with bigeminy and trigeminy. Should I treat these?,0
What would cause breast pain (mastodynia) in a 44-year-old woman with desmoplasia on mammogram? How do you treat mastodynia?,What would cause breast pain in a 44-year-old woman with desmoplasia on mammogram?,1
Should we be using terconazole vaginal cream rather than miconazole since terconazole is effective against Candida tropicalis?,Should we be using terconazole vaginal cream rather than miconazole?,1
What did the article in JAMA (Williams) say about diagnosis of sinusitis and the value of pain and tenderness in the maxillary sinuses?,What did the article in JAMA (Williams) say about pain and tenderness in the maxillary sinuses in diagnosing sinusitis?,1
When do we stop doing mammograms? What age?,At what age should screening mammograms no longer be recommended?,1
Should a woman with an uncomplicated lower urinary tract infection have any follow-up after treatment?,Let's give these immunizations.  That's right isn't it?,0
